ORDER_ID,CUSTOMER_ID,STORE_ID,ORDER_DATE,TOTAL_AMOUNT,CREATED_BY,CREATED_AT,MODIFIED_BY,MODIFIED_AT
13,44,7,13/01/2025 17:21:56,120,admin,13/01/2025 17:21:56.947000,admin,13/01/2025 17:21:56.947000
15,66,9,13/01/2025 17:21:56,108,admin,13/01/2025 17:21:56.947000,admin,13/01/2025 17:21:56.947000
42,60,2,13/01/2025 17:21:56,92,admin,13/01/2025 17:21:56.947000,admin,13/01/2025 17:21:56.947000
46,10,8,13/01/2025 17:21:56,97,admin,13/01/2025 17:21:56.947000,admin,13/01/2025 17:21:56.947000
59,50,7,13/01/2025 17:21:56,104,admin,13/01/2025 17:21:56.947000,admin,13/01/2025 17:21:56.947000
68,50,7,13/01/2025 17:21:56,104,admin,13/01/2025 17:21:56.947000,admin,13/01/2025 17:21:56.947000
81,90,6,13/01/2025 17:21:56,92,admin,13/01/2025 17:21:56.947000,admin,13/01/2025 17:21:56.947000
17,88,6,13/01/2025 17:21:56,90,admin,13/01/2025 17:21:56.947000,admin,13/01/2025 17:21:56.947000
21,30,3,13/01/2025 17:21:56,118,admin,13/01/2025 17:21:56.947000,admin,13/01/2025 17:21:56.947000
24,60,2,13/01/2025 17:21:56,131,admin,13/01/2025 17:21:56.947000,admin,13/01/2025 17:21:56.947000
25,70,9,13/01/2025 17:21:56,132,admin,13/01/2025 17:21:56.947000,admin,13/01/2025 17:21:56.947000
26,80,4,13/01/2025 17:21:56,120,admin,13/01/2025 17:21:56.947000,admin,13/01/2025 17:21:56.947000
27,90,6,13/01/2025 17:21:56,144,admin,13/01/2025 17:21:56.947000,admin,13/01/2025 17:21:56.947000
32,50,7,13/01/2025 17:21:56,144,admin,13/01/2025 17:21:56.947000,admin,13/01/2025 17:21:56.947000
40,40,5,13/01/2025 17:21:56,97,admin,13/01/2025 17:21:56.947000,admin,13/01/2025 17:21:56.947000
55,10,8,13/01/2025 17:21:56,97,admin,13/01/2025 17:21:56.947000,admin,13/01/2025 17:21:56.947000
63,90,6,13/01/2025 17:21:56,92,admin,13/01/2025 17:21:56.947000,admin,13/01/2025 17:21:56.947000
83,20,10,13/01/2025 17:21:56,104,admin,13/01/2025 17:21:56.947000,admin,13/01/2025 17:21:56.947000
85,40,5,13/01/2025 17:21:56,97,admin,13/01/2025 17:21:56.947000,admin,13/01/2025 17:21:56.947000
5,34,9,13/01/2025 17:21:56,74,admin,13/01/2025 17:21:56.947000,admin,13/01/2025 17:21:56.947000
22,40,5,13/01/2025 17:21:56,129,admin,13/01/2025 17:21:56.947000,admin,13/01/2025 17:21:56.947000
31,40,5,13/01/2025 17:21:56,91,admin,13/01/2025 17:21:56.947000,admin,13/01/2025 17:21:56.947000
33,60,2,13/01/2025 17:21:56,93,admin,13/01/2025 17:21:56.947000,admin,13/01/2025 17:21:56.947000
43,70,9,13/01/2025 17:21:56,97,admin,13/01/2025 17:21:56.947000,admin,13/01/2025 17:21:56.947000
45,90,6,13/01/2025 17:21:56,92,admin,13/01/2025 17:21:56.947000,admin,13/01/2025 17:21:56.947000
50,50,7,13/01/2025 17:21:56,104,admin,13/01/2025 17:21:56.947000,admin,13/01/2025 17:21:56.947000
60,60,2,13/01/2025 17:21:56,92,admin,13/01/2025 17:21:56.947000,admin,13/01/2025 17:21:56.947000
72,90,6,13/01/2025 17:21:56,92,admin,13/01/2025 17:21:56.947000,admin,13/01/2025 17:21:56.947000
12,33,5,13/01/2025 17:21:56,85,admin,13/01/2025 17:21:56.947000,admin,13/01/2025 17:21:56.947000
14,55,2,13/01/2025 17:21:56,60,admin,13/01/2025 17:21:56.947000,admin,13/01/2025 17:21:56.947000
18,99,8,13/01/2025 17:21:56,75,admin,13/01/2025 17:21:56.947000,admin,13/01/2025 17:21:56.947000
30,30,3,13/01/2025 17:21:56,136,admin,13/01/2025 17:21:56.947000,admin,13/01/2025 17:21:56.947000
34,70,9,13/01/2025 17:21:56,124,admin,13/01/2025 17:21:56.947000,admin,13/01/2025 17:21:56.947000
35,80,4,13/01/2025 17:21:56,104,admin,13/01/2025 17:21:56.947000,admin,13/01/2025 17:21:56.947000
36,90,6,13/01/2025 17:21:56,120,admin,13/01/2025 17:21:56.947000,admin,13/01/2025 17:21:56.947000
38,20,10,13/01/2025 17:21:56,104,admin,13/01/2025 17:21:56.947000,admin,13/01/2025 17:21:56.947000
44,80,4,13/01/2025 17:21:56,104,admin,13/01/2025 17:21:56.947000,admin,13/01/2025 17:21:56.947000
51,60,2,13/01/2025 17:21:56,92,admin,13/01/2025 17:21:56.947000,admin,13/01/2025 17:21:56.947000
57,30,3,13/01/2025 17:21:56,92,admin,13/01/2025 17:21:56.947000,admin,13/01/2025 17:21:56.947000
64,10,8,13/01/2025 17:21:56,97,admin,13/01/2025 17:21:56.947000,admin,13/01/2025 17:21:56.947000
76,40,5,13/01/2025 17:21:56,97,admin,13/01/2025 17:21:56.947000,admin,13/01/2025 17:21:56.947000
78,60,2,13/01/2025 17:21:56,92,admin,13/01/2025 17:21:56.947000,admin,13/01/2025 17:21:56.947000
86,50,7,13/01/2025 17:21:56,104,admin,13/01/2025 17:21:56.947000,admin,13/01/2025 17:21:56.947000
4,56,2,13/01/2025 17:21:56,80,admin,13/01/2025 17:21:56.947000,admin,13/01/2025 17:21:56.947000
6,12,1,13/01/2025 17:21:56,81,admin,13/01/2025 17:21:56.947000,admin,13/01/2025 17:21:56.947000
9,5,8,13/01/2025 17:21:56,60,admin,13/01/2025 17:21:56.947000,admin,13/01/2025 17:21:56.947000
11,22,3,13/01/2025 17:21:56,70,admin,13/01/2025 17:21:56.947000,admin,13/01/2025 17:21:56.947000
19,10,1,13/01/2025 17:21:56,100,admin,13/01/2025 17:21:56.947000,admin,13/01/2025 17:21:56.947000
28,10,8,13/01/2025 17:21:56,136,admin,13/01/2025 17:21:56.947000,admin,13/01/2025 17:21:56.947000
29,20,10,13/01/2025 17:21:56,131,admin,13/01/2025 17:21:56.947000,admin,13/01/2025 17:21:56.947000
47,20,10,13/01/2025 17:21:56,104,admin,13/01/2025 17:21:56.947000,admin,13/01/2025 17:21:56.947000
61,70,9,13/01/2025 17:21:56,97,admin,13/01/2025 17:21:56.947000,admin,13/01/2025 17:21:56.947000
62,80,4,13/01/2025 17:21:56,104,admin,13/01/2025 17:21:56.947000,admin,13/01/2025 17:21:56.947000
65,20,10,13/01/2025 17:21:56,104,admin,13/01/2025 17:21:56.947000,admin,13/01/2025 17:21:56.947000
67,40,5,13/01/2025 17:21:56,97,admin,13/01/2025 17:21:56.947000,admin,13/01/2025 17:21:56.947000
84,30,3,13/01/2025 17:21:56,92,admin,13/01/2025 17:21:56.947000,admin,13/01/2025 17:21:56.947000
87,60,2,13/01/2025 17:21:56,92,admin,13/01/2025 17:21:56.947000,admin,13/01/2025 17:21:56.947000
1,45,7,13/01/2025 17:21:56,53.5,admin,13/01/2025 17:21:56.947000,admin,13/01/2025 17:21:56.947000
37,10,8,13/01/2025 17:21:56,97,admin,13/01/2025 17:21:56.947000,admin,13/01/2025 17:21:56.947000
39,30,3,13/01/2025 17:21:56,92,admin,13/01/2025 17:21:56.947000,admin,13/01/2025 17:21:56.947000
48,30,3,13/01/2025 17:21:56,92,admin,13/01/2025 17:21:56.947000,admin,13/01/2025 17:21:56.947000
49,40,5,13/01/2025 17:21:56,97,admin,13/01/2025 17:21:56.947000,admin,13/01/2025 17:21:56.947000
54,90,6,13/01/2025 17:21:56,92,admin,13/01/2025 17:21:56.947000,admin,13/01/2025 17:21:56.947000
58,40,5,13/01/2025 17:21:56,97,admin,13/01/2025 17:21:56.947000,admin,13/01/2025 17:21:56.947000
73,10,8,13/01/2025 17:21:56,97,admin,13/01/2025 17:21:56.947000,admin,13/01/2025 17:21:56.947000
75,30,3,13/01/2025 17:21:56,92,admin,13/01/2025 17:21:56.947000,admin,13/01/2025 17:21:56.947000
79,70,9,13/01/2025 17:21:56,97,admin,13/01/2025 17:21:56.947000,admin,13/01/2025 17:21:56.947000
80,80,4,13/01/2025 17:21:56,104,admin,13/01/2025 17:21:56.947000,admin,13/01/2025 17:21:56.947000
